year,species,species_latin,how_many_counted,total_hours,how_many_counted_by_hour
2015,"Thicket Tinamou",Crypturellus cinnamomeus,0,56.5,0
2016,"Thicket Tinamou",Crypturellus cinnamomeus,0,85.5,0
2017,"Thicket Tinamou",Crypturellus cinnamomeus,0,73.75,0
2018,"Thicket Tinamou",Crypturellus cinnamomeus,1,51,0.0196078431372549
2019,"Thicket Tinamou",Crypturellus cinnamomeus,0,33.91,0
2020,"Thicket Tinamou",Crypturellus cinnamomeus,0,45.6,0
2021,"Thicket Tinamou",Crypturellus cinnamomeus,0,67.1,0
2015,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,13,56.5,0.23008849557522124
2016,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,85.5,0
2017,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,73.75,0
2018,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,51,0
2019,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,33.91,0
2020,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,45.6,0
2021,"Black-bellied Whistling-Duck",Dendrocygna autumnalis,0,67.1,0
2015,"Muscovy Duck",Cairina moschata,0,56.5,0
2016,"Muscovy Duck",Cairina moschata,0,85.5,0
2017,"Muscovy Duck",Cairina moschata,0,73.75,0
2018,"Muscovy Duck",Cairina moschata,0,51,0
2019,"Muscovy Duck",Cairina moschata,0,33.91,0
2020,"Muscovy Duck",Cairina moschata,1,45.6,0.021929824561403508
2021,"Muscovy Duck",Cairina moschata,0,67.1,0
2015,"Blue-winged Teal",Anas discors,0,56.5,0
2016,"Blue-winged Teal",Anas discors,2,85.5,0.023391812865497075
2017,"Blue-winged Teal",Anas discors,0,73.75,0
2018,"Blue-winged Teal",Anas discors,0,51,0
2019,"Blue-winged Teal",Anas discors,5,33.91,0.14744913005013272
2020,"Blue-winged Teal",Anas discors,16,45.6,0.3508771929824561
2021,"Blue-winged Teal",Anas discors,0,67.1,0
2015,"Lesser Scaup",Aythya affinis,0,56.5,0
2016,"Lesser Scaup",Aythya affinis,1,85.5,0.011695906432748537
2017,"Lesser Scaup",Aythya affinis,0,73.75,0
2018,"Lesser Scaup",Aythya affinis,0,51,0
2019,"Lesser Scaup",Aythya affinis,0,33.91,0
2020,"Lesser Scaup",Aythya affinis,0,45.6,0
2021,"Lesser Scaup",Aythya affinis,0,67.1,0
2015,"Crested Bobwhite",Colinus cristatus,0,56.5,0
2016,"Crested Bobwhite",Colinus cristatus,0,85.5,0
2017,"Crested Bobwhite",Colinus cristatus,0,73.75,0
2018,"Crested Bobwhite",Colinus cristatus,0,51,0
2019,"Crested Bobwhite",Colinus cristatus,2,33.91,0.058979652020053085
2020,"Crested Bobwhite",Colinus cristatus,0,45.6,0
2021,"Crested Bobwhite",Colinus cristatus,0,67.1,0
2015,"Wood Stork",Mycteria americana,6,56.5,0.10619469026548672
2016,"Wood Stork",Mycteria americana,19,85.5,0.2222222222222222
2017,"Wood Stork",Mycteria americana,64,73.75,0.8677966101694915
2018,"Wood Stork",Mycteria americana,14,51,0.27450980392156865
2019,"Wood Stork",Mycteria americana,12,33.91,0.35387791212031855
2020,"Wood Stork",Mycteria americana,2,45.6,0.043859649122807015
2021,"Wood Stork",Mycteria americana,21,67.1,0.3129657228017884
2015,"Magnificent Frigatebird",Fregata magnificens,53,56.5,0.9380530973451328
2016,"Magnificent Frigatebird",Fregata magnificens,74,85.5,0.8654970760233918
2017,"Magnificent Frigatebird",Fregata magnificens,117,73.75,1.5864406779661018
2018,"Magnificent Frigatebird",Fregata magnificens,37,51,0.7254901960784313
2019,"Magnificent Frigatebird",Fregata magnificens,65,33.91,1.9168386906517254
2020,"Magnificent Frigatebird",Fregata magnificens,126,45.6,2.763157894736842
2021,"Magnificent Frigatebird",Fregata magnificens,125,67.1,1.8628912071535024
2015,"Brown Booby",Sula leucogaster,6,56.5,0.10619469026548672
2016,"Brown Booby",Sula leucogaster,7,85.5,0.08187134502923976
2017,"Brown Booby",Sula leucogaster,1,73.75,0.013559322033898305
2018,"Brown Booby",Sula leucogaster,0,51,0
2019,"Brown Booby",Sula leucogaster,0,33.91,0
2020,"Brown Booby",Sula leucogaster,4,45.6,0.08771929824561403
2021,"Brown Booby",Sula leucogaster,2,67.1,0.02980625931445604
2015,"Neotropic Cormorant",Phalacrocorax brasilianus,21,56.5,0.37168141592920356
2016,"Neotropic Cormorant",Phalacrocorax brasilianus,30,85.5,0.3508771929824561
2017,"Neotropic Cormorant",Phalacrocorax brasilianus,60,73.75,0.8135593220338984
2018,"Neotropic Cormorant",Phalacrocorax brasilianus,22,51,0.43137254901960786
2019,"Neotropic Cormorant",Phalacrocorax brasilianus,33,33.91,0.9731642583308759
2020,"Neotropic Cormorant",Phalacrocorax brasilianus,611,45.6,13.399122807017543
